"SYMBOL","CURRENT_PRICE","MONTHLY_RS","CONSOLIDATION_BREAKOUT","CUP_HANDLE","LONG_TERM_UPTREND","MOMENTUM_BREAKOUT","SUPPORT_BOUNCE","VOLUME_ACCUMULATION","EARNINGS_MOMENTUM","WEEK52_HIGH_BREAKOUT","TECHNICAL_SCORE","MARKET_CAP_CATEGORY"
"ESILVER",227.68,27.35,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,45.3,"MICRO_CAP"
"RAILTEL",378.25,0.74,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,44.7,"LARGE_CAP"
"RELIANCE",1559.2,6.51,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,44.7,"LARGE_CAP"
"CASTROLIND",193.48,-1.4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,44.7,"LARGE_CAP"
"MTARTECH",2394.1,13.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44.7,"SMALL_CAP"
"CHENNPETRO",828.35,4.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44.7,"SMALL_CAP"
"BBOX",550.9,3.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44.7,"SMALL_CAP"
"SBILIFE",2019.1,5.81,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,44.7,"MICRO_CAP"
"KTKBANK",202.29,7.98,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,44.7,"MICRO_CAP"
"GESHIP",1096.7,4.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44.7,"MICRO_CAP"
"TAJGVK",429.8,1.79,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,44.7,"MICRO_CAP"
"BLISSGVS",166.73,4.26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44.7,"MICRO_CAP"
"GMDCLTD",589,-0.76,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,44,"LARGE_CAP"
"TCS",3280,6.17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,44,"LARGE_CAP"
"BDL",1477.9,-0.47,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,44,"LARGE_CAP"
"INFY",1656.1,6.76,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,44,"LARGE_CAP"
"VBL",482.85,4.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,"MID_CAP"
"TEXRAIL",140.09,0.86,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,44,"MID_CAP"
"CONCOR",520.3,-0.48,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,44,"MID_CAP"
"BANKBARODA",288.2,5.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,"SMALL_CAP"
"ASTERDM",617.95,-0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,"SMALL_CAP"
"ACUTAAS",1652.9,11.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,"MICRO_CAP"
"RAMCOCEM",1063.2,3.59,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,44,"MICRO_CAP"
"MSTCLTD",510.8,3.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,"MICRO_CAP"
"BLS",320.2,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,"MICRO_CAP"
"GOLDETF",134.57,8.82,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,44,"MICRO_CAP"
"LUMAXTECH",1517.6,9.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,"MICRO_CAP"
"BSHSL",110.58,-5.78,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,44,"MICRO_CAP"
