"SYMBOL","ISIN","TIMESTAMP","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TOTALTRADES"
"INFY.NS","INE009A01021",2024-12-04,1884,1913.95,1875,1889.25,724,1892.1,4705573,"638119446.25",33115
"RELIANCE.NS","INE002A01018",2024-12-04,1326,1328.4,1304.05,1308.95,724,1323.3,19608540,"638119446.25",33115
"TCS.NS","INE467B01029",2024-12-04,4313.55,4386.95,4289.05,4354.4,724,4302.75,3302642,"638119446.25",33115
"INFY.NS","INE009A01021",2024-12-05,1900,1949.9,1888.95,1934.85,633.2,1889.25,9050038,"273492302.05",31945
"RELIANCE.NS","INE002A01018",2024-12-05,1314.35,1329.95,1306.15,1322.05,633.2,1308.95,16858723,"273492302.05",31945
"TCS.NS","INE467B01029",2024-12-05,4400.8,4489,4360,4464.05,633.2,4354.4,3746747,"273492302.05",31945
"INFY.NS","INE009A01021",2024-12-06,1932.8,1937.95,1912.4,1922.4,1759.4,1934.85,3573331,"542197010.95",31419
"RELIANCE.NS","INE002A01018",2024-12-06,1323.9,1323.9,1310,1311.55,1759.4,1322.05,9037514,"542197010.95",31419
"TCS.NS","INE467B01029",2024-12-06,4453,4465,4412.75,4445.5,1759.4,4464.05,1842087,"542197010.95",31419
"INFY.NS","INE009A01021",2024-12-09,1924.2,1930.2,1897.2,1923.65,2399.9,1922.4,4274645,"8315863.35",1132
"RELIANCE.NS","INE002A01018",2024-12-09,1303,1315,1293.1,1295.15,2399.9,1311.55,14650002,"8315863.35",1132
"TCS.NS","INE467B01029",2024-12-09,4430.45,4469.4,4415.55,4452.15,2399.9,4445.5,2066639,"8315863.35",1132
"INFY.NS","INE009A01021",2024-12-10,1939,1965.6,1932,1948.55,1600,1923.65,6174921,"105334048.55",8273
"RELIANCE.NS","INE002A01018",2024-12-10,1289.25,1294.9,1280.2,1284.85,1600,1295.15,16043729,"105334048.55",8273
"TCS.NS","INE467B01029",2024-12-10,4426.15,4493.8,4412.1,4432.55,1600,4452.15,2087828,"105334048.55",8273
"INFY.NS","INE009A01021",2024-12-11,1955,1978,1952,1974.15,1672.15,1948.55,5025612,"219987783.1",7246
"RELIANCE.NS","INE002A01018",2024-12-11,1285,1290,1276.05,1278.2,1672.15,1284.85,11724373,"219987783.1",7246
"TCS.NS","INE467B01029",2024-12-11,4431.85,4448.65,4407,4427.45,1672.15,4432.55,1635256,"219987783.1",7246
