"SYMBOL","ISIN","TIMESTAMP","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TOTALTRADES"
"AWFIS.NS","INE108V01019",2025-08-01,595,599.15,581.15,583.05,236.5,595.4,159283,"48729806.54",5068
"AWHCL.NS","INE01BK01022",2025-08-01,613.6,613.6,596.75,602.55,236.5,613.6,51874,"48729806.54",5068
"AWL.NS","INE699H01024",2025-08-01,262.25,265.65,256.2,257.3,236.5,262.2,1177272,"48729806.54",5068
"AXISBANK.NS","INE238A01034",2025-08-01,1065,1070.9,1060,1062.4,236.5,1068.4,5545447,"48729806.54",5068
"AXISBNKETF.NS","INF846K01X63",2025-08-01,574.57,576.79,571.64,571.67,236.5,575.2,138,"48729806.54",5068
"AXISBPSETF.NS","INF846K01Z04",2025-08-01,12.84,12.9,12.77,12.8,236.5,12.82,25965,"48729806.54",5068
"AXISCETF.NS","INF846K016C7",2025-08-01,120.71,121.21,119.69,120.21,236.5,120.71,891,"48729806.54",5068
"AXISGOLD.NS","INF846K01W80",2025-08-01,82.69,82.69,82.01,82.46,236.5,82.75,171739,"48729806.54",5068
"AXISHCETF.NS","INF846K01Z12",2025-08-01,151.31,151.31,147.2,147.26,236.5,151.31,8679,"48729806.54",5068
"AXISILVER.NS","INF846K011K1",2025-08-01,111.18,111.28,108.31,109.82,236.5,111.19,200655,"48729806.54",5068
"AXISNIFTY.NS","INF846K01W98",2025-08-01,271.58,272.27,268.59,269.24,236.5,271.58,7560,"48729806.54",5068
"AXISTECETF.NS","INF846K01Y96",2025-08-01,382.77,382.77,375.4,376.03,236.5,382.77,3373,"48729806.54",5068
"AXISVALUE.NS","INF846KA1119",2025-08-01,28.09,28.77,27.56,27.76,236.5,28.08,33919,"48729806.54",5068
"AXITA.NS","INE02EZ01022",2025-08-01,8.84,8.88,8.74,8.79,236.5,8.81,1445313,"48729806.54",5068
"AXSENSEX.NS","INF846K010Q0",2025-08-01,84.38,84.38,82.28,82.56,236.5,83.48,2725,"48729806.54",5068
"AYMSYNTEX.NS","INE193B01039",2025-08-01,209.28,209.51,202,204.04,236.5,209.28,13283,"48729806.54",5068
"AZAD.NS","INE02IJ01035",2025-08-01,1479.1,1494,1441.2,1450.8,236.5,1473.8,132362,"48729806.54",5068
"BAFNAPH.NS","INE878I01022",2025-08-01,87.7,87.7,84.7,85.63,236.5,87.41,1374,"48729806.54",5068
"BAGFILMS.NS","INE116D01028",2025-08-01,7,7,6.8,6.84,236.5,6.95,62763,"48729806.54",5068
"BAIDFIN.NS","INE020D01022",2025-08-01,11.66,11.93,11.66,11.81,236.5,11.92,103509,"48729806.54",5068
"BAJAJ-AUTO.NS","INE917I01010",2025-08-01,8008,8091,7951.5,8044.5,236.5,8008,329818,"48729806.54",5068
