MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,ST,ALUWIND,ALUWIND INFRA-TECH LTD,        80.25,        82.00,        82.00,        78.50,        80.00,                   836550.00,10500,N, ,7,        88.80,        48.00
N,ST,AMCL,ANB METAL CAST LIMITED,       180.45,       185.00,       189.45,       185.00,       189.45,                  4840240.00,25600,N, ,29,       189.45,       161.70
N,ST,ANLON,ANLON TECHNOLOGY SOL LTD,       421.75,       429.95,       430.00,       429.95,       430.00,                   859980.00,2000,N, ,4,       505.80,       239.00
N,ST,APRAMEYA,APRAMEYA ENGINEERING LTD,       184.20,       189.85,       193.40,       181.00,       193.40,                  7503750.00,39000,N, ,33,       193.40,        55.00
N,ST,APS,AUSTRALIAN PREM SOLAR I L,       482.95,       476.00,       486.50,       473.00,       475.50,                 12579712.50,26250,N, ,92,       654.00,       345.00
N,ST,ARCIIL,ARC INSULATION & INSU LTD,       125.00,       145.00,       145.00,       137.75,       137.75,                205563700.00,1445000,N, ,677,       145.00,       137.75
N,ST,ARVINDPORT,ARVIND PORT AND INFRA LTD,        52.65,        50.65,        53.95,        50.65,        52.75,                   769125.00,15000,N, ,7,       152.80,        45.80
G,ST,ASLIND,ASL INDUSTRIES LIMITED,        50.00,        49.00,        49.00,        49.00,        49.00,                    98000.00,2000,N, ,1,        53.55,        29.00
N,ST,AUSL,ADITYA ULTRA STEEL LTD,        37.50,        39.35,        39.35,        38.00,        38.00,                   615500.00,16000,N, ,7,        72.00,        23.65
N,ST,AVSL,AVSL INDUSTRIES LIMITED,       131.25,       125.00,       125.00,       125.00,       125.00,                   125000.00,1000,N, ,1,       195.40,       125.00
N,ST,BARFLEX,BARFLEX POLYFILMS LIMITED,        77.10,        77.95,        77.95,        77.05,        77.50,                  9785200.00,126000,N, ,52,        77.95,        41.15
N,ST,BIKEWO,BIKEWO GREEN TECH LIMITED,        16.40,        16.95,        17.00,        16.95,        17.00,                    67900.00,4000,N, ,2,        47.25,        14.00
N,ST,BIRDYS,GRILL SPLENDOUR SER LTD,       123.00,       123.00,       123.00,       123.00,       123.00,                   147600.00,1200,N, ,1,       154.00,        77.00
N,ST,BULKCORP,BULKCORP INTERNATIONAL L,        75.00,        77.95,        77.95,        77.95,        77.95,                    93540.00,1200,N, ,1,       133.55,        50.55
N,ST,CELLECOR,CELLECOR GADGETS LIMITED,        32.20,        32.15,        32.40,        31.35,        31.40,                  6663000.00,210000,N, ,65,        81.50,        31.35
G,ST,CHAMUNDA,CHAMUNDA ELECTRICAL LTD,        45.95,        45.95,        45.95,        45.95,        45.95,                   275700.00,6000,N, ,2,        71.00,        36.10
N,ST,CHANDAN,CHANDAN HEALTHCARE LTD,       219.20,       220.00,       223.50,       215.00,       219.05,                  6979800.00,32000,N, ,29,       279.00,       140.00
N,ST,CONNPLEX,CONNPLEX CINEMAS LIMITED,       193.45,       194.90,       198.40,       186.10,       192.00,                 24914000.00,128000,N, ,141,       198.40,       177.00
N,ST,DESTINY,DESTINY LOGISTICS & I LTD,       127.00,       123.00,       132.00,       122.00,       129.50,                  1491750.00,12000,N, ,6,       181.00,        39.15
N,ST,DHARIWAL,DHARIWALCORP LIMITED,       163.00,       159.00,       169.00,       159.00,       160.00,                   970440.00,6000,N, ,5,       190.95,        90.50
N,ST,EFACTOR,E FACTOR EXPERIENCES LTD,       215.00,       215.00,       215.00,       215.00,       215.00,                   172000.00,800,N, ,1,       328.80,       127.50
