Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
29 OCT 2025,ANONDITA,ST,ANONDITA MEDICARE LIMITED,Listed    ,29 OCT 2025,              10.00,          18086618,            540.35,     9773104036.30  
29 OCT 2025,ANSALAPI,BZ,ANSAL PROP & INFRA LTD   ,Listed    ,29 OCT 2025,               5.00,         157404876,              4.30,      678415015.55  
29 OCT 2025,ANTGRAPHIC,EQ,ANTARCTICA LTD           ,Listed    ,29 OCT 2025,               1.00,         155009600,              1.05,      164310176.00
29 OCT 2025,ANTHEM,EQ,ANTHEM BIOSCIENCES LTD   ,Listed    ,29 OCT 2025,               2.00,         561610051,            726.80,   408178185066.80    
29 OCT 2025,ANUHPHR,EQ,ANUH PHARMA LIMITED      ,Listed    ,29 OCT 2025,               5.00,         100224000,             89.60,     8981072640.00   
29 OCT 2025,ANUP,EQ,THE ANUP ENGINEERING LTD ,Listed    ,29 OCT 2025,              10.00,          20026466,           2303.10,    46122953844.60      
29 OCT 2025,ANURAS,EQ,ANUPAM RASAYAN INDIA LTD ,Listed    ,29 OCT 2025,              10.00,         113848310,           1089.40,   124026348914.00    
29 OCT 2025,ANYA,SM,ANYA POLYTECH & FERTI LTD,Listed    ,29 OCT 2025,               2.00,         120000000,             23.20,     2784000000.00      
29 OCT 2025,ANZEN,IV,ANZEN IND ENE YLD PLU TRU,Listed    ,27 OCT 2025,             100.00,         196193900,            120.50,    23641364950.00     
29 OCT 2025,APARINDS,EQ,APAR INDUSTRIES LTD.     ,Listed    ,29 OCT 2025,              10.00,          40168315,           9462.00,   380072596530.00  
29 OCT 2025,APCL,EQ,ANJANI PORTLAND CEM LTD  ,Listed    ,29 OCT 2025,              10.00,          29374764,            124.45,     3655101884.50      
29 OCT 2025,APCOTEXIND,EQ,APCOTEX INDUSTRIES LIMITE,Listed    ,29 OCT 2025,               2.00,          51844960,            353.30,    18316824368.00
29 OCT 2025,APEX,EQ,APEX FROZEN FOODS LIMITED,Listed    ,29 OCT 2025,              10.00,          31250000,            242.95,     7591875000.00      
29 OCT 2025,APEXECO,SM,APEX ECOTECH LIMITED     ,Listed    ,29 OCT 2025,              10.00,          13185200,            127.50,     1681113000.00   
29 OCT 2025,APLAPOLLO,EQ,APL APOLLO TUBES LTD     ,Listed    ,29 OCT 2025,               2.00,         277636026,           1804.80,   501077499724.80 
29 OCT 2025,APLLTD,EQ,ALEMBIC PHARMA LTD       ,Listed    ,29 OCT 2025,               2.00,         196563124,            900.80,   177064062099.20    
