MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,STATE BANK OF INDIA,       930.25,       933.90,       942.05,       930.25,       939.75,              11549498004.30,12314222,Y, ,238682,       942.05,       680.00
N,SHRIRAM FINANCE LIMITED,       723.70,       723.70,       741.90,       717.40,       738.45,               7482118275.15,10246214,Y, ,95665,      3344.15,       493.35
N,SUN PHARMACEUTICAL IND L,      1687.00,      1690.00,      1722.00,      1687.30,      1715.90,               1741147604.10,1016738,Y, ,53215,      1922.70,      1548.00
N,TATA CONSUMER PRODUCT LTD,      1168.90,      1169.00,      1188.00,      1167.30,      1177.10,               1200414382.40,1017034,Y, ,40333,      1191.20,       882.90
N,TATA STEEL LIMITED,       181.81,       183.67,       186.94,       182.05,       185.19,               9560013023.60,51610530,Y, ,276781,       186.94,       122.62
N,TATA CONSULTANCY SERV LT,      3057.90,      3057.90,      3076.00,      3046.10,      3057.60,               8863286092.50,2895420,Y, ,116138,      4494.90,      2866.60
N,TECH MAHINDRA LIMITED,      1447.40,      1453.00,      1461.20,      1442.60,      1452.20,               1905129875.20,1311858,Y, ,63292,      1807.70,      1209.40
N,TITAN COMPANY LIMITED,      3717.00,      3734.20,      3753.50,      3714.20,      3748.30,               2952206172.80,789557,Y, ,53913,      3800.00,      2925.00
N,TATA MOTORS PASS VEH LTD,       411.50,       412.50,       415.00,       407.05,       411.35,               3497813318.65,8485023,Y, ,112896,       421.55,       376.30
N,TRENT LTD,      4725.40,      4735.00,      4788.00,      4735.00,      4780.60,               1455158795.80,305268,Y, ,35415,      7493.05,      4488.00
N,ULTRATECH CEMENT LIMITED,     11931.00,     11940.00,     12060.00,     11899.00,     11999.00,               4728541732.00,394272,Y, ,53249,     13097.00,     10047.85
N,WIPRO LTD,       242.38,       243.60,       243.60,       241.64,       242.28,               2127495399.61,8776917,Y, ,67295,       596.00,       228.00
 , , , , , , , , , , , , , 
 ,NIFTY Next 50 Sec, , , , , , , , , , , , 
N,ABB INDIA LIMITED,      5175.50,      5175.50,      5300.00,      5175.50,      5289.00,               1017514393.00,193168,N, ,17923,      7960.00,      4684.45
N,ADANI ENERGY SOLUTION LTD,       921.20,       928.05,       983.50,       917.95,       967.55,               6000740089.10,6202463,N, ,108745,      1090.95,       588.00
N,ADANI GREEN ENERGY LTD,      1004.20,      1028.00,      1145.00,      1012.10,      1112.60,              39769843989.80,36232727,N, ,460491,      1733.95,       758.00
N,ADANI POWER LTD,       162.33,       163.28,       168.40,       161.75,       162.10,              11163527895.45,67870076,N, ,265124,       723.00,       142.10
N,AMBUJA CEMENTS LTD,       554.90,       555.00,       575.00,       555.00,       571.75,               2148492079.80,3787089,N, ,40064,       624.95,       453.05
N,BAJAJ HOUSING FINANCE LTD,       109.01,       109.00,       110.84,       108.90,       110.65,                397700047.98,3611658,N, ,27577,       147.70,       103.10
N,BAJAJ HOLDINGS & INVS LTD,     12787.00,     12786.00,     12793.00,     12513.00,     12619.00,                278168713.00,22032,N, ,7539,     14763.00,     10064.05
