Date,Open,High,Low,Close,Volume
2023-02-28,39.3351,39.434,38.5445,38.5445,7357
2023-03-01,38.5939,39.7799,38.5445,38.6433,5586
2023-03-02,38.5445,41.0153,38.5445,39.8787,15770
2023-03-03,39.0386,42.0036,38.8904,40.5013,7536
2023-03-06,40.274,41.6577,39.0386,40.274,1857
2023-03-08,41.2623,47.4393,41.2623,46.5993,59353
2023-03-09,48.1312,48.1312,44.9685,45.8185,15889
2023-03-10,45.8185,45.9569,43.4861,43.8419,7385
2023-03-13,44.9587,44.9587,35.0853,38.4456,25464
2023-03-14,39.4735,40.4223,37.062,38.248,11212
2023-03-15,39.5229,39.5229,35.5795,36.3405,19897
2023-03-16,37.5463,38.9892,36.38,38.4753,6330
2023-03-17,38.0997,39.5328,38.0503,39.0287,1648
2023-03-20,39.5229,41.0251,36.6765,40.0269,19117
2023-03-21,39.5328,40.5211,39.1375,40.5013,3819
2023-03-22,39.5822,40.5013,38.1491,39.2066,10119
2023-03-23,39.4834,40.5211,38.3171,39.7008,5618
2023-03-24,40.7583,40.7583,38.5445,39.2956,53001
2023-03-27,40.274,40.5211,37.5561,38.0503,12870
2023-03-28,39.7107,39.7107,34.7493,35.4708,10335
2023-03-29,36.0737,37.7143,34.6999,34.9668,35667
2023-03-31,36.5184,36.5184,35.0359,35.283,7037
2023-04-03,36.8841,39.4834,36.7161,38.0602,6917
2023-04-05,38.841,39.1375,36.8643,37.7933,10591
2023-04-06,37.8526,38.2974,37.062,37.5067,6955
2023-04-10,37.5561,37.5561,35.6289,36.637,8184
2023-04-11,36.5678,38.7421,36.0737,36.1033,9119
2023-04-12,35.8958,37.4573,35.5795,36.133,6865
2023-04-13,37.2597,40.274,36.9137,37.1015,29177
2023-04-17,37.1015,39.177,36.5777,38.3962,3200
2023-04-18,38.3962,38.6927,37.4079,38.6927,1955
2023-04-19,38.248,39.3351,37.6352,38.9694,1836
2023-04-20,39.3351,39.3351,37.5561,37.5957,4251
2023-04-21,37.5957,38.4456,37.5957,37.6747,2533
2023-04-24,39.0287,39.0287,37.5561,38.1788,2649
2023-04-25,38.1788,38.1788,37.062,37.1114,2077
2023-04-26,37.0719,38.7915,37.0719,38.7718,2677
2023-04-27,39.0386,39.0386,37.5759,38.9793,1630
2023-04-28,38.9793,39.2857,38.0602,38.7026,2676
2023-05-02,38.841,42.4977,37.0817,41.5786,10817
2023-05-03,41.9048,43.1204,38.5445,38.6532,17682
2023-05-04,39.5328,39.5328,38.0503,38.327,5303
2023-05-05,38.327,39.5328,37.655,39.2462,8354
2023-05-08,39.2363,39.2363,37.9021,37.9218,3845
2023-05-09,39.1375,39.1375,37.6056,38.0305,6766
2023-05-10,38.0503,38.92,37.7637,38.0701,2661
2023-05-11,38.9299,39.0287,37.7044,38.4555,6250
2023-05-12,41.0153,41.0153,36.5678,40.3729,19401
2023-05-15,40.3729,43.8221,40.3729,41.8257,35153
2023-05-16,41.8257,42.7448,41.292,42.2803,5132
2023-05-17,42.9919,43.3675,40.531,42.8832,4580
2023-05-18,41.5193,45.265,40.6397,44.336,9316
2023-05-19,44.4744,48.5265,44.4744,46.1842,54003
2023-05-22,49.4061,53.6658,47.4393,52.46,69450
2023-05-23,53.9622,54.3576,49.2183,49.8706,37334
2023-05-24,50.4043,50.4043,48.4771,48.8823,14411
2023-05-25,48.6352,50.602,46.9847,49.327,15474
2023-05-26,50.2956,50.2956,47.4393,48.0521,4458
2023-05-29,48.9218,49.8904,44.4744,46.4313,16762
2023-05-30,47.4393,48.5759,45.9569,46.0458,5381
2023-05-31,45.9569,47.2911,42.478,43.9506,23562
2023-06-01,43.3378,45.2552,42.4977,44.7313,4436
2023-06-02,44.0395,47.3899,44.0395,45.9766,3902
2023-06-05,45.9569,46.8958,44.7215,46.1348,2204
2023-06-06,45.9569,47.4196,45.5714,46.283,3244
2023-06-07,45.9569,46.9353,45.6604,46.4115,1610
2023-06-08,42.7942,47.637,42.7942,47.38,3606
2023-06-09,47.8149,47.8149,46.0063,46.0952,2838
2023-06-12,46.0656,51.3926,45.4627,48.9416,12146
2023-06-13,49.6532,51.3926,47.4888,48.8032,11511
2023-06-14,52.2327,52.2327,48.823,49.4061,15580
2023-06-15,49.9003,51.5804,49.5148,50.8194,9669
2023-06-16,51.3729,51.3729,49.8212,50.1177,4415
2023-06-19,51.1455,51.1455,47.9434,48.4672,8259
2023-06-20,48.0719,48.4277,47.4393,47.5777,5435
2023-06-21,46.7475,49.4061,46.6388,46.9649,13887
2023-06-22,49.2183,49.2183,45.9569,46.3522,8847
2023-06-23,50.3944,50.3944,45.018,46.4115,2319
2023-06-26,46.4115,47.3207,45.5813,46.0656,1916
2023-06-27,49.3764,50.4043,44.7412,45.265,6278
2023-06-28,45.4627,47.2021,45.1662,45.4034,6538
2023-06-30,46.9452,46.9452,44.8203,45.0871,1652
2023-07-03,46.9452,46.9452,45.1662,46.7574,2886
2023-07-04,47.4196,47.4196,45.1168,46.3621,1528
2023-07-05,46.9452,46.9452,45.3737,45.6604,2213
2023-07-06,47.1824,47.1824,45.9569,46.1644,3581
2023-07-07,50.2066,50.2066,45.1662,45.7197,1766
2023-07-10,44.5732,47.4196,44.5732,46.1743,613
2023-07-11,45.4825,46.451,44.7709,45.1168,2390
2023-07-12,46.3028,46.3028,45.018,45.3738,882
2023-07-13,46.451,46.451,39.7799,44.593,9001
2023-07-14,44.2372,46.2435,44.2372,46.2237,6819
2023-07-17,43.7826,47.3405,43.7826,45.0377,13655
2023-07-18,46.1545,46.1545,43.5948,44.6127,57543
2023-07-19,45.3145,46.3028,44.0099,46.2435,6111
2023-07-20,46.4016,46.4016,44.4744,45.2947,12925
2023-07-21,44.9685,45.2156,44.9685,45.1662,5154
2023-07-24,45.4627,45.9569,44.5238,44.5831,3061
2023-07-25,45.4429,45.4627,43.9802,44.0198,34839
2023-07-26,43.9901,45.4133,43.4861,44.8697,3205
2023-07-27,44.4744,46.451,44.4744,46.1545,11443
2023-07-28,45.9569,46.4411,45.4627,45.9569,1549
2023-07-31,45.9569,45.9569,43.4861,44.593,26676
2023-08-01,44.4744,47.4393,43.4861,45.6208,61502
2023-08-02,45.5615,46.4214,44.4744,44.6029,7224
2023-08-03,46.4411,46.451,44.2866,44.6424,2255
2023-08-04,45.4627,46.9452,43.5355,46.5103,13333
